technology,parameter,year,value,unit,currency_year,source,further_description
ft_pem,fuel,2030,156.5,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
methanol_pem,fuel,2030,199.9,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
ch4_g_pem,fuel,2030,166.6,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
ch4_fl_pem,fuel,2030,172.6,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
h2_g_pem,fuel,2030,72.8,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
h2_fl_pem,fuel,2030,96.8,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
nh3_pem,fuel,2050,84.8,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
ft_pem,fuel,2050,119.3,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
methanol_pem,fuel,2050,119,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
ch4_g_pem,fuel,2050,104.7,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
ch4_fl_pem,fuel,2050,112.8,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
h2_g_pem,fuel,2050,59.3,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
h2_fl_pem,fuel,2050,86.6,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
