technology,parameter,year,value,unit,currency_year,source,further_description
CH4 (g) fill compressor station,lifetime,2050,20,years,2015,"eige Annahmen auf Basis von Reuß, M.; Grube, T.; Robinius, M.; Preuster, P.; Wasserscheid, P.; d. Stolten (2017): Seasonal storage and alternative carriers: A flexible hydrogen supply chain model. In: Applied Energy 200 (12), S. 290-302.",
CH4 (g) fill compressor station,electricity-input,2050,0,MWh_el/MWh_CH4,2015,"Capra, Federico; Magli, Francesco; Gatti, Manuele (2019): Biomethane liquefaction: A systematic comparative analysis of refrigeration technologies. In: Applied Thermal Engineering 158 (2), S. 113815. DOI: 10.1016/j.applthermaleng.2019.113815.",
CH4 liquefaction,investment,2050,3597122.3,EUR/MW_el,2015,"Eigene Annahme (Inv. Scale: 0,93) nach: Raj, Ratan; Suman, Ravi; Ghandehariun, Samane; Kumar, Amit; Tiwari, Manoj K. (2016): A techno-economic assessment of the liquefied natural gas (LNG) production facilities in Western Canada. In: Sustainable Energy Technologies and Assessments 18 (1), S. 140-152.","ausgereifte Technologie, keine Kostendegression, vgl. Pypsa; Umrechnung von EUR/t_CH4/h mit Energiebedarf und 8000 VLS (s. Kraftwerksliste)"
CH4 liquefaction,FOM,2050,4,%/year,2015,"Raj, Ratan; Suman, Ravi; Ghandehariun, Samane; Kumar, Amit; Tiwari, Manoj K. (2016): A techno-economic assessment of the liquefied natural gas (LNG) production facilities in Western Canada. In: Sustainable Energy Technologies and Assessments 18 (1), S. 140-152.",
CH4 liquefaction,lifetime,2050,20,years,2015,"Capra, Federico; Magli, Francesco; Gatti, Manuele (2019): Biomethane liquefaction: A systematic comparative analysis of refrigeration technologies. In: Applied Thermal Engineering 158 (2), S. 113815. DOI: 10.1016/j.applthermaleng.2019.113815.",
CH4 liquefaction,electricity-input,2050,0.1,MWh_el/MWh_CH4,2015,"Capra, Federico; Magli, Francesco; Gatti, Manuele (2019): Biomethane liquefaction: A systematic comparative analysis of refrigeration technologies. In: Applied Thermal Engineering 158 (2), S. 113815. DOI: 10.1016/j.applthermaleng.2019.113815.",
direct air capture,investment,2050,4316490,EUR/t_CO2*h,2020,"Eigene Annahmen auf Basis von Fasihi, Mahdi; Efimova, Olga; Breyer, Christian (2019): Techno-economic assessment of CO2 direct air capture plants. In: Journal of Cleaner Production 224, S. 957–980. und auf Basis von www.bmwi.de/Redaktion/DE/Downloads/Studien/transformationspfade-fuer-strombasierte-energietraeger.pdf?__blob=publicationFile",Umrechnung über 450€/t*a mit 8000 VLS und Strombedarf
direct air capture,FOM,2050,4,%/year,2020,"Eigene Annahmen auf Basis von Fasihi, Mahdi; Efimova, Olga; Breyer, Christian (2019): Techno-economic assessment of CO2 direct air capture plants. In: Journal of Cleaner Production 224, S. 957–980. und auf Basis von www.bmwi.de/Redaktion/DE/Downloads/Studien/transformationspfade-fuer-strombasierte-energietraeger.pdf?__blob=publicationFile",
direct air capture,VOM,2050,1.3,EUR/MWh_el,2016,"Fasihi, Mahdi; Efimova, Olga; Breyer, Christian (2019): Techno-economic assessment of CO2 direct air capture plants. In: Journal of Cleaner Production 224, S. 957–980.",
direct air capture,lifetime,2050,30,years,2020,"Fasihi, Mahdi; Efimova, Olga; Breyer, Christian (2019): Techno-economic assessment of CO2 direct air capture plants. In: Journal of Cleaner Production 224, S. 957–980.",
direct air capture,electricity-input,2050,0.2552,MWh_el/t_CO2,2020,"Eigene Annahmen auf Basis von Fasihi, Mahdi; Efimova, Olga; Breyer, Christian (2019): Techno-economic assessment of CO2 direct air capture plants. In: Journal of Cleaner Production 224, S. 957–980. und auf Basis von www.bmwi.de/Redaktion/DE/Downloads/Studien/transformationspfade-fuer-strombasierte-energietraeger.pdf?__blob=publicationFile",
direct air capture,thermal-input,2050,1312.2,MWh_el/t_CO2,2020,"Eigene Annahmen auf Basis von Fasihi, Mahdi; Efimova, Olga; Breyer, Christian (2019): Techno-economic assessment of CO2 direct air capture plants. In: Journal of Cleaner Production 224, S. 957–980. und auf Basis von www.bmwi.de/Redaktion/DE/Downloads/Studien/transformationspfade-fuer-strombasierte-energietraeger.pdf?__blob=publicationFile",
electrolysis PEMEC,investment,2050,470000,EUR/MW_el,2017,"Eigene Annahmen auf Basis von Smolinka, Tom & Wiebe, Nikolai & Sterchele, Philip & Palzer, Andreas & Lehner, Franz & Jansen, Malte & Kiemel, Steffen & Miehe, Robert & Wahren, Sylvia & Zimmermann, Fabian. (2018). Studie IndWEDe: Industrialisierung der Wasserelektrolyse in Deutschland: Chancen und Herausforderungen für nachhaltigen Wasserstoff für Verkehr, Strom und Wärme.",
electrolysis PEMEC,FOM,2050,5,%/year,2017,"Eigene Annahmen auf Basis von Smolinka, Tom & Wiebe, Nikolai & Sterchele, Philip & Palzer, Andreas & Lehner, Franz & Jansen, Malte & Kiemel, Steffen & Miehe, Robert & Wahren, Sylvia & Zimmermann, Fabian. (2018). Studie IndWEDe: Industrialisierung der Wasserelektrolyse in Deutschland: Chancen und Herausforderungen für nachhaltigen Wasserstoff für Verkehr, Strom und Wärme.",
electrolysis PEMEC,lifetime,2050,20,years,2017,"Eigene Annahmen auf Basis von Smolinka, Tom & Wiebe, Nikolai & Sterchele, Philip & Palzer, Andreas & Lehner, Franz & Jansen, Malte & Kiemel, Steffen & Miehe, Robert & Wahren, Sylvia & Zimmermann, Fabian. (2018). Studie IndWEDe: Industrialisierung der Wasserelektrolyse in Deutschland: Chancen und Herausforderungen für nachhaltigen Wasserstoff für Verkehr, Strom und Wärme.",
electrolysis PEMEC,efficiency,2050,0.7,per unit,2017,"Eigene Annahmen auf Basis von Smolinka, Tom & Wiebe, Nikolai & Sterchele, Philip & Palzer, Andreas & Lehner, Franz & Jansen, Malte & Kiemel, Steffen & Miehe, Robert & Wahren, Sylvia & Zimmermann, Fabian. (2018). Studie IndWEDe: Industrialisierung der Wasserelektrolyse in Deutschland: Chancen und Herausforderungen für nachhaltigen Wasserstoff für Verkehr, Strom und Wärme.",
electrolysis SOEC,investment,2050,550000,EUR/MW_el,2017,"Smolinka, Tom & Wiebe, Nikolai & Sterchele, Philip & Palzer, Andreas & Lehner, Franz & Jansen, Malte & Kiemel, Steffen & Miehe, Robert & Wahren, Sylvia & Zimmermann, Fabian. (2018). Studie IndWEDe: Industrialisierung der Wasserelektrolyse in Deutschland: Chancen und Herausforderungen für nachhaltigen Wasserstoff für Verkehr, Strom und Wärme.",
electrolysis SOEC,FOM,2050,3,%/year,2017,"Smolinka, Tom & Wiebe, Nikolai & Sterchele, Philip & Palzer, Andreas & Lehner, Franz & Jansen, Malte & Kiemel, Steffen & Miehe, Robert & Wahren, Sylvia & Zimmermann, Fabian. (2018). Studie IndWEDe: Industrialisierung der Wasserelektrolyse in Deutschland: Chancen und Herausforderungen für nachhaltigen Wasserstoff für Verkehr, Strom und Wärme.",
electrolysis SOEC,lifetime,2050,20,years,2017,"Smolinka, Tom & Wiebe, Nikolai & Sterchele, Philip & Palzer, Andreas & Lehner, Franz & Jansen, Malte & Kiemel, Steffen & Miehe, Robert & Wahren, Sylvia & Zimmermann, Fabian. (2018). Studie IndWEDe: Industrialisierung der Wasserelektrolyse in Deutschland: Chancen und Herausforderungen für nachhaltigen Wasserstoff für Verkehr, Strom und Wärme.",
electrolysis SOEC,efficiency,2050,0.9,per unit,2017,"Smolinka, Tom & Wiebe, Nikolai & Sterchele, Philip & Palzer, Andreas & Lehner, Franz & Jansen, Malte & Kiemel, Steffen & Miehe, Robert & Wahren, Sylvia & Zimmermann, Fabian. (2018). Studie IndWEDe: Industrialisierung der Wasserelektrolyse in Deutschland: Chancen und Herausforderungen für nachhaltigen Wasserstoff für Verkehr, Strom und Wärme.",
electrolysis SOEC,thermal-input,2050,0.2,MWh_th/MWh_H2,2017,"Verdegaal, Wolfgang Michael; Becker, Sebastian; Olshausen, Christian von (2015): Power-to-Liquids: Synthetisches Rohöl aus CO 2, Wasser und Sonne. In: Chemie Ingenieur Technik 87 (4), S. 340-346.",
Fischer-Tropsch,investment,2050,324000,EUR/MW_H2,2016,"Eigene Annahmen auf Basis von Ausfelder, Florian; Dura, Hanna Ewa (Hg.) (2018): Optionen für ein nachhaltiges Energiesystem mit Power-to-X Technologien. Herausforderungen - Potenziale - Methoden - Auswirkungen: 1. Roadmap des Kopernikus-Projektes ""Power-to-X"": Flexible Nutzung erneuerbarer Ressourcen (P2X): erstellt im Rahmen der Roadmapping-Aktivitäten im Koperinkus-Projekt ""Power-to-X"": Flexible Nutzung erneuerbarer Ressourcen (P2X) gefördert durch das Bundesministerium für Bildung und Technologie. DECHEMA, Gesellschaft für Chemische Technik und Biotechnologie. 1. Auflage. Frankfurt am Main: DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V. Online verfügbar unter edocs.tib.eu/files/e01fn18/1034723774.pdf",
Fischer-Tropsch,FOM,2050,5,%/year,2016,"Eigene Annahmen auf Basis von Ausfelder, Florian; Dura, Hanna Ewa (Hg.) (2018): Optionen für ein nachhaltiges Energiesystem mit Power-to-X Technologien. Herausforderungen - Potenziale - Methoden - Auswirkungen: 1. Roadmap des Kopernikus-Projektes ""Power-to-X"": Flexible Nutzung erneuerbarer Ressourcen (P2X): erstellt im Rahmen der Roadmapping-Aktivitäten im Koperinkus-Projekt ""Power-to-X"": Flexible Nutzung erneuerbarer Ressourcen (P2X) gefördert durch das Bundesministerium für Bildung und Technologie. DECHEMA, Gesellschaft für Chemische Technik und Biotechnologie. 1. Auflage. Frankfurt am Main: DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V. Online verfügbar unter edocs.tib.eu/files/e01fn18/1034723774.pdf",
Fischer-Tropsch,lifetime,2050,20,years,2016,eigene Annahmen,
Fischer-Tropsch,efficiency,2050,0.8,per unit,2016,Eigene Berechnungen auf Basis des Ablaufs der chemischen Reaktion und einem angesetzten Gütegrad der Reaktion von 95% (5% verfahrenstechnische Verluste),
Fischer-Tropsch,thermal-output,2050,0.1,MWh_th/MWh_H2,2016,"Verdegaal, Wolfgang Michael; Becker, Sebastian; Olshausen, Christian von (2015): Power-to-Liquids: Synthetisches Rohöl aus CO 2, Wasser und Sonne. In: Chemie Ingenieur Technik 87 (4), S. 340-346.",Wirkungsgrad des Wärmetauschers 2030-2050 bleibt gleich
Haber-Bosch,investment,2050,507000,EUR/MW_H2,2016,"Ikäheimo, Jussi; Kiviluoma, Juha; Weiss, Robert; Holttinen, Hannele (2018): Power-to-ammonia in future North European 100 % renewable power and heat system. In: International Journal of Hydrogen Energy 43 (36), S. 17295–17308.","ausgereifte Technologie, keine Kostendegression "
Haber-Bosch,FOM,2050,2,%/year,2016,"Ikäheimo, Jussi; Kiviluoma, Juha; Weiss, Robert; Holttinen, Hannele (2018): Power-to-ammonia in future North European 100 % renewable power and heat system. In: International Journal of Hydrogen Energy 43 (36), S. 17295–17308.",
Haber-Bosch,lifetime,2050,20,years,2016,eigene Annahmen,
Haber-Bosch,efficiency,2050,0.8,per unit,2016,Eigene Berechnungen auf Basis des Ablaufs der chemischen Reaktion und einem angesetzten Gütegrad der Reaktion von 95% (5% verfahrenstechnische Verluste),
Haber-Bosch,thermal-output,2050,0.1,MWh_th/MWh_H2,2016,"Rouwenhorst, K.H.R.; Krzywda, P. M.; Benes, N. E.; Mul, G.; Lefferts, L. (2021): Ammonia Production Technologies. In: Techno-Economic Challenges of Green Ammonia as an Energy Vector: Elsevier, S. 41–83.",Wirkungsgrad des Wärmetauschers 2030-2050 bleibt gleich
methanation,investment,2050,324000,EUR/MW_H2,2016,"Eigene Annahmen auf Basis von Ausfelder, Florian; Dura, Hanna Ewa (Hg.) (2018): Optionen für ein nachhaltiges Energiesystem mit Power-to-X Technologien. Herausforderungen - Potenziale - Methoden - Auswirkungen: 1. Roadmap des Kopernikus-Projektes ""Power-to-X"": Flexible Nutzung erneuerbarer Ressourcen (P2X): erstellt im Rahmen der Roadmapping-Aktivitäten im Koperinkus-Projekt ""Power-to-X"": Flexible Nutzung erneuerbarer Ressourcen (P2X) gefördert durch das Bundesministerium für Bildung und Technologie. DECHEMA, Gesellschaft für Chemische Technik und Biotechnologie. 1. Auflage. Frankfurt am Main: DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V. Online verfügbar unter edocs.tib.eu/files/e01fn18/1034723774.pdf",
methanation,FOM,2050,5,%/year,2016,"Eigene Annahmen auf Basis von Ausfelder, Florian; Dura, Hanna Ewa (Hg.) (2018): Optionen für ein nachhaltiges Energiesystem mit Power-to-X Technologien. Herausforderungen - Potenziale - Methoden - Auswirkungen: 1. Roadmap des Kopernikus-Projektes ""Power-to-X"": Flexible Nutzung erneuerbarer Ressourcen (P2X): erstellt im Rahmen der Roadmapping-Aktivitäten im Koperinkus-Projekt ""Power-to-X"": Flexible Nutzung erneuerbarer Ressourcen (P2X) gefördert durch das Bundesministerium für Bildung und Technologie. DECHEMA, Gesellschaft für Chemische Technik und Biotechnologie. 1. Auflage. Frankfurt am Main: DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V. Online verfügbar unter edocs.tib.eu/files/e01fn18/1034723774.pdf",
methanation,lifetime,2050,20,years,2016,eigene Annahmen,
methanation,efficiency,2050,0.8,per unit,2016,Eigene Berechnungen auf Basis des Ablaufs der chemischen Reaktion und einem angesetzten Gütegrad der Reaktion von 95% (5% verfahrenstechnische Verluste),
methanation,thermal-output,2050,0.1,MWh_th/MWh_H2,2016,"Ausfelder, Florian; Beilmann, Christian; Bertau, Martin; Bräuninger, Sigmar; Heinzel, Angelika; Hoer, Renate et al. (2015): Energiespeicherung als Element einer sicheren Energieversorgung. In: Chemie Ingenieur Technik 87 (1-2), S. 17-89",Wirkungsgrad des Wärmetauschers 2030-2050 bleibt gleich
methanolisation,investment,2050,324000,EUR/MW_H2,2016,"Eigene Annahmen auf Basis von Ausfelder, Florian; Dura, Hanna Ewa (Hg.) (2018): Optionen für ein nachhaltiges Energiesystem mit Power-to-X Technologien. Herausforderungen - Potenziale - Methoden - Auswirkungen: 1. Roadmap des Kopernikus-Projektes ""Power-to-X"": Flexible Nutzung erneuerbarer Ressourcen (P2X): erstellt im Rahmen der Roadmapping-Aktivitäten im Koperinkus-Projekt ""Power-to-X"": Flexible Nutzung erneuerbarer Ressourcen (P2X) gefördert durch das Bundesministerium für Bildung und Technologie. DECHEMA, Gesellschaft für Chemische Technik und Biotechnologie. 1. Auflage. Frankfurt am Main: DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V. Online verfügbar unter edocs.tib.eu/files/e01fn18/1034723774.pdf",
methanolisation,FOM,2050,5,%/year,2016,"Eigene Annahmen auf Basis von Ausfelder, Florian; Dura, Hanna Ewa (Hg.) (2018): Optionen für ein nachhaltiges Energiesystem mit Power-to-X Technologien. Herausforderungen - Potenziale - Methoden - Auswirkungen: 1. Roadmap des Kopernikus-Projektes ""Power-to-X"": Flexible Nutzung erneuerbarer Ressourcen (P2X): erstellt im Rahmen der Roadmapping-Aktivitäten im Koperinkus-Projekt ""Power-to-X"": Flexible Nutzung erneuerbarer Ressourcen (P2X) gefördert durch das Bundesministerium für Bildung und Technologie. DECHEMA, Gesellschaft für Chemische Technik und Biotechnologie. 1. Auflage. Frankfurt am Main: DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V. Online verfügbar unter edocs.tib.eu/files/e01fn18/1034723774.pdf",
methanolisation,lifetime,2050,20,years,2016,eigene Annahmen,
methanolisation,efficiency,2050,0.8,per unit,2016,Eigene Berechnungen auf Basis des Ablaufs der chemischen Reaktion und einem angesetzten Gütegrad der Reaktion von 95% (5% verfahrenstechnische Verluste),
methanolisation,thermal-output,2050,0,MWh_th/MWh_H2,2016,"Balopi, Babusi; Agachi, Paul; Danha (2019): Methanol Synthesis Chemistry and Process Engineering Aspects- A Review with Consequence to Botswana Chemical Industries. In: Procedia Manufacturing 35, S. 367–376.",Wirkungsgrad des Wärmetauschers 2030-2050 bleibt gleich
gas storage,investment,2050,5015,EUR/MWh_CH4,2017,"Gorre, Jachin; Ortloff, Felix; van Leeuwen, Charlotte (2019): Production costs for synthetic methane in 2030 and 2050 of an optimized Power-to-Gas plant with intermediate hydrogen storage. In: Applied Energy 253, S. 113594.","Quelle geht von keiner Reduktion aus, da ausgereifte Technologie"
gas storage,FOM,2050,1,%/year,2017,"Gorre, Jachin; Ortloff, Felix; van Leeuwen, Charlotte (2019): Production costs for synthetic methane in 2030 and 2050 of an optimized Power-to-Gas plant with intermediate hydrogen storage. In: Applied Energy 253, S. 113594.",
gas storage,lifetime,2050,20,years,2017,eigene Annahmen,
H2 (g) fill compressor station,investment,2050,916225.6,EUR/MW_el,2015,"Reuß, M.; Grube, T.; Robinius, M.; Preuster, P.; Wasserscheid, P.; d. Stolten (2017): Seasonal storage and alternative carriers: A flexible hydrogen supply chain model. In: Applied Energy 200 (12), S. 290-302.",
H2 (g) fill compressor station,FOM,2050,4,%/year,2015,"Reuß, M.; Grube, T.; Robinius, M.; Preuster, P.; Wasserscheid, P.; d. Stolten (2017): Seasonal storage and alternative carriers: A flexible hydrogen supply chain model. In: Applied Energy 200 (12), S. 290-302.",
H2 (g) fill compressor station,lifetime,2050,20,years,2015,eigene Annahmen,
H2 (g) fill compressor station,electricity-input,2050,0,MWh_el/MWh_H2,2015,"Reuß, M.; Grube, T.; Robinius, M.; Preuster, P.; Wasserscheid, P.; d. Stolten (2017): Seasonal storage and alternative carriers: A flexible hydrogen supply chain model. In: Applied Energy 200 (12), S. 290-302.",ausgereifte Technologie
H2 liquefaction,investment,2050,4200420,EUR/MW_el,2010,"eigene Annahmen auf Basis von Stolzenburg, K.; Mubbala, R. (2013): Integrated Design for Demonstration of Efficient Liquefaction of Hydrogen (IDEALHY). Fuel Cells and Hydrogen Joint Undertaking (FCH JU). Online verfügbar unter https://www.idealhy.eu/uploads/documents/IDEALHY_D3-16_Liquefaction_Report_web.pdf, zuletzt geprüft am 18.05.2021.",
H2 liquefaction,FOM,2050,4,%/year,2010,"Stolzenburg, K.; Mubbala, R. (2013): Integrated Design for Demonstration of Efficient Liquefaction of Hydrogen (IDEALHY). Fuel Cells and Hydrogen Joint Undertaking (FCH JU). Online verfügbar unter https://www.idealhy.eu/uploads/documents/IDEALHY_D3-16_Liquefaction_Report_web.pdf, zuletzt geprüft am 18.05.2021.",
H2 liquefaction,lifetime,2050,20,years,2010,"Stolzenburg, K.; Mubbala, R. (2013): Integrated Design for Demonstration of Efficient Liquefaction of Hydrogen (IDEALHY). Fuel Cells and Hydrogen Joint Undertaking (FCH JU). Online verfügbar unter https://www.idealhy.eu/uploads/documents/IDEALHY_D3-16_Liquefaction_Report_web.pdf, zuletzt geprüft am 18.05.2021.",
H2 liquefaction,electricity-input,2050,0.2,MWh_el/MWh_H2,2010,"Reuß, M.; Grube, T.; Robinius, M.; Preuster, P.; Wasserscheid, P.; d. Stolten (2017): Seasonal storage and alternative carriers: A flexible hydrogen supply chain model. In: Applied Energy 200 (12), S. 290-302.",
hydrogen storage tank,investment,2050,16700,EUR/MWh_H2,2017,"Gorre, Jachin; Ortloff, Felix; van Leeuwen, Charlotte (2019): Production costs for synthetic methane in 2030 and 2050 of an optimized Power-to-Gas plant with intermediate hydrogen storage. In: Applied Energy 253, S. 113594.",
hydrogen storage tank,FOM,2050,1.5,%/year,2017,"Gorre, Jachin; Ortloff, Felix; van Leeuwen, Charlotte (2019): Production costs for synthetic methane in 2030 and 2050 of an optimized Power-to-Gas plant with intermediate hydrogen storage. In: Applied Energy 253, S. 113594.",
hydrogen storage tank,lifetime,2050,20,years,2017,"Gorre, Jachin; Ortloff, Felix; van Leeuwen, Charlotte (2019): Production costs for synthetic methane in 2030 and 2050 of an optimized Power-to-Gas plant with intermediate hydrogen storage. In: Applied Energy 253, S. 113594.",
onwind IEC class 1,investment,2050,806000,EUR/MW_el,2017,Eigene Annahmen auf Basis von IRENA (2018): Renewable Power Generation Costs in 2017. International Renewable Energy Agency. Abu Dhabi,
onwind IEC class 1,FOM,2050,4,%/year,2017,Eigene Annahmen auf Basis von IRENA (2018): Renewable Power Generation Costs in 2017. International Renewable Energy Agency. Abu Dhabi,
onwind IEC class 1,lifetime,2050,20,years,2017,eigene Annahmen,
onwind IEC class 3,investment,2050,886000,EUR/MW_el,2017,Eigene Annahmen auf Basis von IRENA (2018): Renewable Power Generation Costs in 2017. International Renewable Energy Agency. Abu Dhabi,
onwind IEC class 3,FOM,2050,4,%/year,2017,Eigene Annahmen auf Basis von IRENA (2018): Renewable Power Generation Costs in 2017. International Renewable Energy Agency. Abu Dhabi,
onwind IEC class 3,lifetime,2050,20,years,2017,eigene Annahmen ,
solar-utility,investment,2050,321000,EUR/MW_el,2017,Eigene Annahmen auf Basis von IRENA (2018): Renewable Power Generation Costs in 2017. International Renewable Energy Agency. Abu Dhabi,
solar-utility,FOM,2050,2.5,%/year,2017,Eigene Annahmen auf Basis von IRENA (2018): Renewable Power Generation Costs in 2017. International Renewable Energy Agency. Abu Dhabi,
solar-utility,lifetime,2050,25,years,2017,eigene Annahmen,
